ʀ	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ⱱ	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ɾ	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ɽ	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ɸ	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
β	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
f	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
v	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
θ	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
ð	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
s	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
z	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ʃ	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0
ʒ	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0
ʂ	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ʐ	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ç	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0
ʝ	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0
x	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
ɣ	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
χ	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ʁ	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ħ	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
ʕ	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
h	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɦ	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɬ	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ɮ	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ʋ	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ɹ	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ɻ	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
l	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ɭ	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ʎ	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ʟ	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
j	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
w	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0
ɥ	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0
ɰ	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0
i	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0
ɪ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0
y	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0
ʏ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0
e	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0
ø	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0
ɛ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0
œ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0
æ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1
a	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1
ɶ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1
ɨ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0
ʉ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0
ə	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
ɐ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1
ɯ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0
u	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0
ʊ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0
ɤ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0
o	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0
ʌ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0
ɔ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0
ɑ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1
ɒ	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1
